# Derived from CSV data at  http://golang.org/x/arch/x86
| Instruction                             | OpCode                            | Valid32BitOp | Valid64BitOp | CPUID                  | Info                              | ReadWriteActions | OperandSizeDistinguished | OpBitSize |
| JNP rel8                                | 7B cb                             | V            | V            |                        |                                   | r                | Y                        |           |
| JNS rel16                               | 0F 89 cw                          | V            | N.S.         |                        | operand16                         | r                | Y                        |           |
| JNS rel32                               | 0F 89 cd                          | V            | V            |                        | operand32                         | r                | Y                        |           |
| JNS rel32                               | 0F 89 cd                          | N.S.         | V            |                        | operand16,operand64               | r                | Y                        |           |
| JNS rel8                                | 79 cb                             | V            | V            |                        |                                   | r                | Y                        |           |
| JNZ rel16                               | 0F 85 cw                          | V            | N.S.         |                        | pseudo                            | r                |                          |           |
| JNZ rel32                               | 0F 85 cd                          | V            | V            |                        | pseudo                            | r                |                          |           |
| JNZ rel8                                | 75 cb                             | V            | V            |                        | pseudo                            | r                |                          |           |
| JO rel16                                | 0F 80 cw                          | V            | N.S.         |                        | operand16                         | r                | Y                        |           |
| JO rel32                                | 0F 80 cd                          | V            | V            |                        | operand32                         | r                | Y                        |           |
| JO rel32                                | 0F 80 cd                          | N.S.         | V            |                        | operand16,operand64               | r                | Y                        |           |
| JO rel8                                 | 70 cb                             | V            | V            |                        |                                   | r                | Y                        |           |
| JP rel16                                | 0F 8A cw                          | V            | N.S.         |                        | operand16                         | r                | Y                        |           |
| JP rel32                                | 0F 8A cd                          | N.S.         | V            |                        | operand16,operand64               | r                | Y                        |           |
| JP rel32                                | 0F 8A cd                          | V            | V            |                        | operand32                         | r                | Y                        |           |
| JP rel8                                 | 7A cb                             | V            | V            |                        |                                   | r                | Y                        |           |
| JPE rel16                               | 0F 8A cw                          | V            | N.S.         |                        | pseudo                            | r                |                          |           |
| JPE rel32                               | 0F 8A cd                          | V            | V            |                        | pseudo                            | r                |                          |           |
| JPE rel8                                | 7A cb                             | V            | V            |                        | pseudo                            | r                |                          |           |
| JPO rel16                               | 0F 8B cw                          | V            | N.S.         |                        | pseudo                            | r                |                          |           |
| JPO rel32                               | 0F 8B cd                          | V            | V            |                        | pseudo                            | r                |                          |           |
| JPO rel8                                | 7B cb                             | V            | V            |                        | pseudo                            | r                |                          |           |
| JRCXZ rel8                              | E3 cb                             | N.E.         | V            |                        | address64                         | r                |                          |           |
| JS rel16                                | 0F 88 cw                          | V            | N.S.         |                        | operand16                         | r                | Y                        |           |
| JS rel32                                | 0F 88 cd                          | N.S.         | V            |                        | operand16,operand64               | r                | Y                        |           |
| JS rel32                                | 0F 88 cd                          | V            | V            |                        | operand32                         | r                | Y                        |           |
| JS rel8                                 | 78 cb                             | V            | V            |                        |                                   | r                | Y                        |           |
| JZ rel16                                | 0F 84 cw                          | V            | N.S.         |                        | operand16,pseudo                  | r                |                          |           |
| JZ rel32                                | 0F 84 cd                          | V            | V            |                        | operand32,pseudo                  | r                |                          |           |
| JZ rel8                                 | 74 cb                             | V            | V            |                        | pseudo                            | r                |                          |           |
| LAHF                                    | 9F                                | V            | V            |                        |                                   |                  |                          |           |
| LAR r16, r/m16                          | 0F 02 /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| LAR r32, r32/m16                        | 0F 02 /r                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| LAR r64, r/m16                          | REX.W 0F 02 /r                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| LDDQU xmm1, m128                        | F2 0F F0 /r                       | V            | V            | SSE3                   | modrm_memonly                     | w,r              |                          |           |
| LDMXCSR m32                             | 0F AE /2                          | V            | V            | SSE                    | modrm_memonly                     | r                |                          |           |
| LDS r16, m16:16                         | C5 /r                             | V            | I            |                        | operand16                         | w,r              | Y                        | 16        |
| LDS r32, m16:32                         | C5 /r                             | V            | I            |                        | operand32                         | w,r              | Y                        | 32        |
| LEA r16, m                              | 8D /r                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| LEA r32, m                              | 8D /r                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| LEA r64, m                              | REX.W 8D /r                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| LEAVE                                   | C9                                | V            | V            |                        | operand16                         |                  | Y                        |           |
| LEAVE                                   | C9                                | V            | N.E.         |                        | operand32                         |                  | Y                        |           |
| LEAVE                                   | C9                                | N.E.         | V            |                        | operand32,operand64               |                  | Y                        |           |
| LES r16, m16:16                         | C4 /r                             | V            | I            |                        | operand16                         | w,r              | Y                        | 16        |
| LES r32, m16:32                         | C4 /r                             | V            | I            |                        | operand32                         | w,r              | Y                        | 32        |
| LFENCE                                  | 0F AE E8                          | V            | V            |                        |                                   |                  |                          |           |
| LFS r16, m16:16                         | 0F B4 /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| LFS r32, m16:32                         | 0F B4 /r                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| LFS r64, m16:64                         | REX.W 0F B4 /r                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| LGDT m16&32                             | 0F 01 /2                          | V            | N.E.         |                        |                                   | r                |                          |           |
| LGDT m16&64                             | 0F 01 /2                          | N.E.         | V            |                        |                                   | r                |                          |           |
| LGS r16, m16:16                         | 0F B5 /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| LGS r32, m16:32                         | 0F B5 /r                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| LGS r64, m16:64                         | REX.W 0F B5 /r                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| LIDT m16&32                             | 0F 01 /3                          | V            | N.E.         |                        |                                   | r                |                          |           |
| LIDT m16&64                             | 0F 01 /3                          | N.E.         | V            |                        |                                   | r                |                          |           |
| LLDT r/m16                              | 0F 00 /2                          | V            | V            |                        |                                   | r                |                          |           |
| LMSW r/m16                              | 0F 01 /6                          | V            | V            |                        |                                   | r                |                          |           |
| LOCK                                    | F0                                | V            | V            |                        | pseudo                            |                  |                          |           |
| LODSB                                   | AC                                | V            | V            |                        |                                   |                  |                          |           |
| LODSD                                   | AD                                | V            | V            |                        | operand32                         |                  |                          |           |
| LODSQ                                   | REX.W AD                          | N.E.         | V            |                        |                                   |                  |                          |           |
| LODSW                                   | AD                                | V            | V            |                        | operand16                         |                  |                          |           |
| LOOP rel8                               | E2 cb                             | V            | V            |                        |                                   | r                |                          |           |
| LOOPE rel8                              | E1 cb                             | V            | V            |                        |                                   | r                |                          |           |
| LOOPNE rel8                             | E0 cb                             | V            | V            |                        |                                   | r                |                          |           |
| LSL r16, r/m16                          | 0F 03 /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| LSL r32, r32/m16                        | 0F 03 /r                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| LSL r64, r32/m16                        | REX.W 0F 03 /r                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| LSS r16, m16:16                         | 0F B2 /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| LSS r32, m16:32                         | 0F B2 /r                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| LSS r64, m16:64                         | REX.W 0F B2 /r                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| LTR r/m16                               | 0F 00 /3                          | V            | V            |                        |                                   | r                |                          |           |
| LZCNT r16, r/m16                        | F3 0F BD /r                       | V            | V            | LZCNT                  | operand16                         | w,r              | Y                        | 16        |
| LZCNT r32, r/m32                        | F3 0F BD /r                       | V            | V            | LZCNT                  | operand32                         | w,r              | Y                        | 32        |
| LZCNT r64, r/m64                        | F3 REX.W 0F BD /r                 | N.E.         | V            | LZCNT                  |                                   | w,r              | Y                        | 64        |
| MASKMOVDQU xmm1, xmm2                   | 66 0F F7 /r                       | V            | V            | SSE2                   | modrm_regonly                     | r,r              |                          |           |
| MASKMOVQ mm1, mm2                       | 0F F7 /r                          | V            | V            |                        |                                   | r,r              |                          |           |
| MAXPD xmm1, xmm2/m128                   | 66 0F 5F /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| MAXPS xmm1, xmm2/m128                   | 0F 5F /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| MAXSD xmm1, xmm2/m64                    | F2 0F 5F /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| MAXSS xmm1, xmm2/m32                    | F3 0F 5F /r                       | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| MFENCE                                  | 0F AE F0                          | V            | V            |                        |                                   |                  |                          |           |
| MINPD xmm1, xmm2/m128                   | 66 0F 5D /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| MINPS xmm1, xmm2/m128                   | 0F 5D /r                          | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| MINSD xmm1, xmm2/m64                    | F2 0F 5D /r                       | V            | V            | SSE2                   |                                   | rw,r             |                          |           |
| MINSS xmm1, xmm2/m32                    | F3 0F 5D /r                       | V            | V            | SSE                    |                                   | rw,r             |                          |           |
| MONITOR                                 | 0F 01 C8                          | V            | V            |                        |                                   |                  |                          |           |
| MOV AL, moffs8                          | A0 cm                             | V            | V            |                        | ignoreREXW                        | w,r              | Y                        | 8         |
| MOV AL, moffs8                          | REX.W A0 cm                       | N.E.         | V            |                        | pseudo                            | w,r              | Y                        | 8         |
| MOV AX, moffs16                         | A1 cm                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV CR0-CR7, rmr32                      | 0F 22 /r                          | V            | N.E.         |                        | modrm_regonly                     | w,r              | Y                        | 32        |
| MOV CR0-CR7, rmr64                      | 0F 22 /r                          | N.E.         | V            |                        | modrm_regonly                     | w,r              | Y                        | 64        |
| MOV CR8, rmr64                          | REX.R + 0F 22 /0                  | N.E.         | V            |                        | modrm_regonly,pseudo              | w,r              | Y                        | 64        |
| MOV DR0-DR7, rmr32                      | 0F 23 /r                          | V            | N.E.         |                        | modrm_regonly                     | w,r              | Y                        | 32        |
| MOV DR0-DR7, rmr64                      | 0F 23 /r                          | N.E.         | V            |                        | modrm_regonly                     | w,r              | Y                        | 64        |
| MOV EAX, moffs32                        | A1 cm                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| MOV RAX, moffs64                        | REX.W A1 cm                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| MOV Sreg, r/m16                         | 8E /r                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV Sreg, r/m16                         | REX.W 8E /r                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 16        |
| MOV Sreg, r32/m16                       | 8E /r                             | V            | V            |                        | operand32                         | w,r              | Y                        |           |
| MOV moffs16, AX                         | A3 cm                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV moffs32, EAX                        | A3 cm                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| MOV moffs64, RAX                        | REX.W A3 cm                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| MOV moffs8, AL                          | A2 cm                             | V            | V            |                        | ignoreREXW                        | w,r              | Y                        | 8         |
| MOV moffs8, AL                          | REX.W A2 cm                       | N.E.         | V            |                        | pseudo                            | w,r              | Y                        | 8         |
| MOV r/m16, Sreg                         | 8C /r                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV r/m16, Sreg                         | REX.W 8C /r                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 16        |
| MOV r/m16, imm16                        | C7 /0 iw                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV r/m16, r16                          | 89 /r                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV r/m32, Sreg                         | 8C /r                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| MOV r/m32, imm32                        | C7 /0 id                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| MOV r/m32, r32                          | 89 /r                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| MOV r/m64, imm32                        | REX.W C7 /0 id                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| MOV r/m64, r64                          | REX.W 89 /r                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| MOV r/m8, imm8u                         | C6 /0 ib                          | V            | V            |                        |                                   | w,r              | Y                        | 8         |
| MOV r/m8, imm8u                         | REX C6 /0 ib                      | N.E.         | V            |                        | pseudo64                          | w,r              | Y                        | 8         |
| MOV r/m8, r8                            | 88 /r                             | V            | V            |                        |                                   | w,r              | Y                        | 8         |
| MOV r/m8, r8                            | REX 88 /r                         | N.E.         | V            |                        | pseudo64                          | w,r              | Y                        | 8         |
| MOV r16, r/m16                          | 8B /r                             | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV r16op, imm16                        | B8+rw iw                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOV r32, r/m32                          | 8B /r                             | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| MOV r32op, imm32                        | B8+rd id                          | V            | V            |                        | operand32                         | w,r              | Y                        | 32        |
| MOV r64, r/m64                          | REX.W 8B /r                       | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| MOV r64op, imm64                        | REX.W B8+rd io                    | N.E.         | V            |                        |                                   | w,r              | Y                        | 64        |
| MOV r8, r/m8                            | 8A /r                             | V            | V            |                        |                                   | w,r              | Y                        | 8         |
| MOV r8, r/m8                            | REX 8A /r                         | N.E.         | V            |                        | pseudo64                          | w,r              | Y                        | 8         |
| MOV r8op, imm8u                         | B0+rb ib                          | V            | V            |                        |                                   | w,r              | Y                        | 8         |
| MOV r8op, imm8u                         | REX B0+rb ib                      | N.E.         | V            |                        | pseudo64                          | w,r              | Y                        | 8         |
| MOV rmr32, CR0-CR7                      | 0F 20 /r                          | V            | N.E.         |                        | modrm_regonly                     | w,r              | Y                        | 32        |
| MOV rmr32, DR0-DR7                      | 0F 21 /r                          | V            | N.E.         |                        | modrm_regonly                     | w,r              | Y                        | 32        |
| MOV rmr64, CR0-CR7                      | 0F 20 /r                          | N.E.         | V            |                        | modrm_regonly                     | w,r              | Y                        | 64        |
| MOV rmr64, CR8                          | REX.R + 0F 20 /0                  | N.E.         | V            |                        | modrm_regonly,pseudo              | w,r              | Y                        | 64        |
| MOV rmr64, DR0-DR7                      | 0F 21 /r                          | N.E.         | V            |                        | modrm_regonly                     | w,r              | Y                        | 64        |
| MOVAPD xmm1, xmm2/m128                  | 66 0F 28 /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVAPD xmm2/m128, xmm1                  | 66 0F 29 /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVAPS xmm1, xmm2/m128                  | 0F 28 /r                          | V            | V            | SSE                    |                                   | w,r              |                          |           |
| MOVAPS xmm2/m128, xmm1                  | 0F 29 /r                          | V            | V            | SSE                    |                                   | w,r              |                          |           |
| MOVBE m16, r16                          | 0F 38 F1 /r                       | V            | V            |                        | modrm_memonly,operand16           | w,r              | Y                        | 16        |
| MOVBE m32, r32                          | 0F 38 F1 /r                       | V            | V            |                        | modrm_memonly,operand32           | w,r              | Y                        | 32        |
| MOVBE m64, r64                          | REX.W 0F 38 F1 /r                 | N.E.         | V            |                        | modrm_memonly                     | w,r              | Y                        | 64        |
| MOVBE r16, m16                          | 0F 38 F0 /r                       | V            | V            |                        | modrm_memonly,operand16           | w,r              | Y                        | 16        |
| MOVBE r32, m32                          | 0F 38 F0 /r                       | V            | V            |                        | modrm_memonly,operand32           | w,r              | Y                        | 32        |
| MOVBE r64, m64                          | REX.W 0F 38 F0 /r                 | N.E.         | V            |                        | modrm_memonly                     | w,r              | Y                        | 64        |
| MOVD mm1, r/m32                         | 0F 6E /r                          | V            | V            | MMX                    | operand16,operand32               | w,r              |                          |           |
| MOVD r/m32, mm1                         | 0F 7E /r                          | V            | V            | MMX                    | operand16,operand32               | w,r              |                          |           |
| MOVD r/m32, xmm1                        | 66 0F 7E /r                       | V            | V            | SSE2                   | operand16,operand32               | w,r              |                          |           |
| MOVD xmm1, r/m32                        | 66 0F 6E /r                       | V            | V            | SSE2                   | operand16,operand32               | w,r              |                          |           |
| MOVDDUP xmm1, xmm2/m64                  | F2 0F 12 /r                       | V            | V            | SSE3                   |                                   | w,r              |                          |           |
| MOVDQ2Q mm1, xmm2                       | F2 0F D6 /r                       | V            | V            |                        | modrm_regonly                     | w,r              |                          |           |
| MOVDQA xmm1, xmm2/m128                  | 66 0F 6F /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVDQA xmm2/m128, xmm1                  | 66 0F 7F /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVDQU xmm1, xmm2/m128                  | F3 0F 6F /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVDQU xmm2/m128, xmm1                  | F3 0F 7F /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVHLPS xmm1, xmm2                      | 0F 12 /r                          | V            | V            | SSE                    | modrm_regonly                     | w,r              |                          |           |
| MOVHPD m64, xmm1                        | 66 0F 17 /r                       | V            | V            | SSE2                   | modrm_memonly                     | w,r              |                          |           |
| MOVHPD xmm1, m64                        | 66 0F 16 /r                       | V            | V            | SSE2                   | modrm_memonly                     | rw,r             |                          |           |
| MOVHPS m64, xmm1                        | 0F 17 /r                          | V            | V            | SSE                    | modrm_memonly                     | w,r              |                          |           |
| MOVHPS xmm1, m64                        | 0F 16 /r                          | V            | V            | SSE                    | modrm_memonly                     | rw,r             |                          |           |
| MOVLHPS xmm1, xmm2                      | 0F 16 /r                          | V            | V            | SSE                    | modrm_regonly                     | w,r              |                          |           |
| MOVLPD m64, xmm1                        | 66 0F 13 /r                       | V            | V            | SSE2                   | modrm_memonly                     | w,r              |                          |           |
| MOVLPD xmm1, m64                        | 66 0F 12 /r                       | V            | V            | SSE2                   | modrm_memonly                     | rw,r             |                          |           |
| MOVLPS m64, xmm1                        | 0F 13 /r                          | V            | V            | SSE                    | modrm_memonly                     | w,r              |                          |           |
| MOVLPS xmm1, m64                        | 0F 12 /r                          | V            | V            | SSE                    | modrm_memonly                     | rw,r             |                          |           |
| MOVMSKPD r32, xmm2                      | 66 0F 50 /r                       | V            | V            | SSE2                   | modrm_regonly                     | w,r              |                          |           |
| MOVMSKPS r32, xmm2                      | 0F 50 /r                          | V            | V            | SSE                    | modrm_regonly                     | w,r              |                          |           |
| MOVNTDQ m128, xmm1                      | 66 0F E7 /r                       | V            | V            | SSE2                   | modrm_memonly                     | w,r              |                          |           |
| MOVNTDQA xmm1, m128                     | 66 0F 38 2A /r                    | V            | V            | SSE4_1                 | modrm_memonly                     | w,r              |                          |           |
| MOVNTI m32, r32                         | 0F C3 /r                          | V            | V            |                        | modrm_memonly,operand16,operand32 | w,r              | Y                        | 32        |
| MOVNTI m64, r64                         | REX.W 0F C3 /r                    | N.E.         | V            |                        | modrm_memonly                     | w,r              | Y                        | 64        |
| MOVNTPD m128, xmm1                      | 66 0F 2B /r                       | V            | V            | SSE2                   | modrm_memonly                     | w,r              |                          |           |
| MOVNTPS m128, xmm1                      | 0F 2B /r                          | V            | V            | SSE                    | modrm_memonly                     | w,r              |                          |           |
| MOVNTQ m64, mm1                         | 0F E7 /r                          | V            | V            |                        | modrm_memonly                     | w,r              |                          |           |
| MOVNTSD m64, xmm1                       | F2 0F 2B /r                       | V            | V            | SSE                    |                                   | w,r              |                          |           |
| MOVNTSS m32, xmm1                       | F3 0F 2B /r                       | V            | V            | SSE                    |                                   | w,r              |                          |           |
| MOVQ mm1, mm2/m64                       | 0F 6F /r                          | V            | V            | MMX                    |                                   | w,r              |                          |           |
| MOVQ mm1, r/m64                         | REX.W 0F 6E /r                    | N.E.         | V            | MMX                    |                                   | w,r              |                          |           |
| MOVQ mm2/m64, mm1                       | 0F 7F /r                          | V            | V            | MMX                    |                                   | w,r              |                          |           |
| MOVQ r/m64, mm1                         | REX.W 0F 7E /r                    | N.E.         | V            | MMX                    |                                   | w,r              |                          |           |
| MOVQ r/m64, xmm1                        | 66 REX.W 0F 7E /r                 | N.E.         | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVQ xmm1, r/m64                        | 66 REX.W 0F 6E /r                 | N.E.         | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVQ xmm1, xmm2/m64                     | F3 0F 7E /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVQ xmm2/m64, xmm1                     | 66 0F D6 /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVQ2DQ xmm1, mm2                       | F3 0F D6 /r                       | V            | V            |                        |                                   | w,r              |                          |           |
| MOVSB                                   | A4                                | V            | V            |                        |                                   |                  |                          |           |
| MOVSD                                   | A5                                | V            | V            |                        | operand32                         |                  |                          |           |
| MOVSD xmm1, xmm2/m64                    | F2 0F 10 /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVSD xmm2/m64, xmm1                    | F2 0F 11 /r                       | V            | V            | SSE2                   |                                   | w,r              |                          |           |
| MOVSHDUP xmm1, xmm2/m128                | F3 0F 16 /r                       | V            | V            | SSE3                   |                                   | w,r              |                          |           |
| MOVSLDUP xmm1, xmm2/m128                | F3 0F 12 /r                       | V            | V            | SSE3                   |                                   | w,r              |                          |           |
| MOVSQ                                   | REX.W A5                          | N.E.         | V            |                        |                                   |                  |                          |           |
| MOVSS xmm1, xmm2/m32                    | F3 0F 10 /r                       | V            | V            | SSE                    |                                   | w,r              |                          |           |
| MOVSS xmm2/m32, xmm1                    | F3 0F 11 /r                       | V            | V            | SSE                    |                                   | w,r              |                          |           |
| MOVSW                                   | A5                                | V            | V            |                        | operand16                         |                  |                          |           |
| MOVSX r16, r/m16                        | 0F BF /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
| MOVSX r16, r/m8                         | 0F BE /r                          | V            | V            |                        | operand16                         | w,r              | Y                        | 16        |
