; Derived from insns.dat, the table of instructions for the Netwide Assembler. See license

Basic Instructions
---------------------------------------------------------------------------------------------------------------
| Class      | Operands                | Code                        | Flags                      |
| PINSRW          | xmmreg,reg32,imm      | [rmi: 66 0f c4 /r ib,u]           | SSE2,SB,AR2,ND      |
| PINSRW          | xmmreg,reg64,imm      | [rmi: 66 0f c4 /r ib,u]           | X64,SSE2,SB,AR2,ND  |
| PINSRW          | xmmreg,mem,imm        | [rmi: 66 0f c4 /r ib,u]           | SSE2,SB,AR2         |
| PINSRW          | xmmreg,mem16,imm      | [rmi: 66 0f c4 /r ib,u]           | SSE2,SB,AR2         |
| PMADDWD         | xmmreg,xmmrm          | [rm: 66 0f f5 /r]                 | SSE2,SO             |
| PMAXSW          | xmmreg,xmmrm          | [rm: 66 0f ee /r]                 | SSE2,SO             |
| PMAXUB          | xmmreg,xmmrm          | [rm: 66 0f de /r]                 | SSE2,SO             |
| PMINSW          | xmmreg,xmmrm          | [rm: 66 0f ea /r]                 | SSE2,SO             |
| PMINUB          | xmmreg,xmmrm          | [rm: 66 0f da /r]                 | SSE2,SO             |
| PMOVMSKB        | reg32,xmmreg          | [rm: 66 0f d7 /r]                 | SSE2                |
| PMULHUW         | xmmreg,xmmrm          | [rm: 66 0f e4 /r]                 | SSE2,SO             |
| PMULHW          | xmmreg,xmmrm          | [rm: 66 0f e5 /r]                 | SSE2,SO             |
| PMULLW          | xmmreg,xmmrm          | [rm: 66 0f d5 /r]                 | SSE2,SO             |
| PMULUDQ         | mmxreg,mmxrm          | [rm: np o64nw 0f f4 /r]           | SSE2,SO             |
| PMULUDQ         | xmmreg,xmmrm          | [rm: 66 0f f4 /r]                 | SSE2,SO             |
| POR             | xmmreg,xmmrm          | [rm: 66 0f eb /r]                 | SSE2,SO             |
| PSADBW          | xmmreg,xmmrm          | [rm: 66 0f f6 /r]                 | SSE2,SO             |
| PSHUFD          | xmmreg,xmmreg,imm     | [rmi: 66 0f 70 /r ib]             | SSE2,SB,AR2         |
| PSHUFD          | xmmreg,mem,imm        | [rmi: 66 0f 70 /r ib]             | SSE2,SM2,SB,AR2     |
| PSHUFHW         | xmmreg,xmmreg,imm     | [rmi: f3 0f 70 /r ib]             | SSE2,SB,AR2         |
| PSHUFHW         | xmmreg,mem,imm        | [rmi: f3 0f 70 /r ib]             | SSE2,SM2,SB,AR2     |
| PSHUFLW         | xmmreg,xmmreg,imm     | [rmi: f2 0f 70 /r ib]             | SSE2,SB,AR2         |
| PSHUFLW         | xmmreg,mem,imm        | [rmi: f2 0f 70 /r ib]             | SSE2,SM2,SB,AR2     |
| PSLLDQ          | xmmreg,imm            | [mi: 66 0f 73 /7 ib,u]            | SSE2,SB,AR1         |
| PSLLW           | xmmreg,xmmrm          | [rm: 66 0f f1 /r]                 | SSE2,SO             |
| PSLLW           | xmmreg,imm            | [mi: 66 0f 71 /6 ib,u]            | SSE2,SB,AR1         |
| PSLLD           | xmmreg,xmmrm          | [rm: 66 0f f2 /r]                 | SSE2,SO             |
| PSLLD           | xmmreg,imm            | [mi: 66 0f 72 /6 ib,u]            | SSE2,SB,AR1         |
| PSLLQ           | xmmreg,xmmrm          | [rm: 66 0f f3 /r]                 | SSE2,SO             |
| PSLLQ           | xmmreg,imm            | [mi: 66 0f 73 /6 ib,u]            | SSE2,SB,AR1         |
| PSRAW           | xmmreg,xmmrm          | [rm: 66 0f e1 /r]                 | SSE2,SO             |
| PSRAW           | xmmreg,imm            | [mi: 66 0f 71 /4 ib,u]            | SSE2,SB,AR1         |
| PSRAD           | xmmreg,xmmrm          | [rm: 66 0f e2 /r]                 | SSE2,SO             |
| PSRAD           | xmmreg,imm            | [mi: 66 0f 72 /4 ib,u]            | SSE2,SB,AR1         |
| PSRLDQ          | xmmreg,imm            | [mi: 66 0f 73 /3 ib,u]            | SSE2,SB,AR1         |
| PSRLW           | xmmreg,xmmrm          | [rm: 66 0f d1 /r]                 | SSE2,SO             |
| PSRLW           | xmmreg,imm            | [mi: 66 0f 71 /2 ib,u]            | SSE2,SB,AR1         |
| PSRLD           | xmmreg,xmmrm          | [rm: 66 0f d2 /r]                 | SSE2,SO             |
| PSRLD           | xmmreg,imm            | [mi: 66 0f 72 /2 ib,u]            | SSE2,SB,AR1         |
| PSRLQ           | xmmreg,xmmrm          | [rm: 66 0f d3 /r]                 | SSE2,SO             |
| PSRLQ           | xmmreg,imm            | [mi: 66 0f 73 /2 ib,u]            | SSE2,SB,AR1         |
| PSUBB           | xmmreg,xmmrm          | [rm: 66 0f f8 /r]                 | SSE2,SO             |
| PSUBW           | xmmreg,xmmrm          | [rm: 66 0f f9 /r]                 | SSE2,SO             |
| PSUBD           | xmmreg,xmmrm          | [rm: 66 0f fa /r]                 | SSE2,SO             |
| PSUBQ           | mmxreg,mmxrm          | [rm: np o64nw 0f fb /r]           | SSE2,SO             |
| PSUBQ           | xmmreg,xmmrm          | [rm: 66 0f fb /r]                 | SSE2,SO             |
| PSUBSB          | xmmreg,xmmrm          | [rm: 66 0f e8 /r]                 | SSE2,SO             |
| PSUBSW          | xmmreg,xmmrm          | [rm: 66 0f e9 /r]                 | SSE2,SO             |
| PSUBUSB         | xmmreg,xmmrm          | [rm: 66 0f d8 /r]                 | SSE2,SO             |
| PSUBUSW         | xmmreg,xmmrm          | [rm: 66 0f d9 /r]                 | SSE2,SO             |
| PUNPCKHBW       | xmmreg,xmmrm          | [rm: 66 0f 68 /r]                 | SSE2,SO             |
| PUNPCKHWD       | xmmreg,xmmrm          | [rm: 66 0f 69 /r]                 | SSE2,SO             |
| PUNPCKHDQ       | xmmreg,xmmrm          | [rm: 66 0f 6a /r]                 | SSE2,SO             |
| PUNPCKHQDQ      | xmmreg,xmmrm          | [rm: 66 0f 6d /r]                 | SSE2,SO             |
| PUNPCKLBW       | xmmreg,xmmrm          | [rm: 66 0f 60 /r]                 | SSE2,SO             |
| PUNPCKLWD       | xmmreg,xmmrm          | [rm: 66 0f 61 /r]                 | SSE2,SO             |
| PUNPCKLDQ       | xmmreg,xmmrm          | [rm: 66 0f 62 /r]                 | SSE2,SO             |
| PUNPCKLQDQ      | xmmreg,xmmrm          | [rm: 66 0f 6c /r]                 | SSE2,SO             |
| PXOR            | xmmreg,xmmrm          | [rm: 66 0f ef /r]                 | SSE2,SO             |
| ADDPD           | xmmreg,xmmrm          | [rm: 66 0f 58 /r]                 | SSE2,SO             |
| ADDSD           | xmmreg,xmmrm          | [rm: f2 0f 58 /r]                 | SSE2,SQ             |
| ANDNPD          | xmmreg,xmmrm          | [rm: 66 0f 55 /r]                 | SSE2,SO             |
| ANDPD           | xmmreg,xmmrm          | [rm: 66 0f 54 /r]                 | SSE2,SO             |
| CMPEQPD         | xmmreg,xmmrm          | [rm: 66 0f c2 /r 00]              | SSE2,SO             |
| CMPEQSD         | xmmreg,xmmrm          | [rm: f2 0f c2 /r 00]              | SSE2                |
| CMPLEPD         | xmmreg,xmmrm          | [rm: 66 0f c2 /r 02]              | SSE2,SO             |
| CMPLESD         | xmmreg,xmmrm          | [rm: f2 0f c2 /r 02]              | SSE2                |
| CMPLTPD         | xmmreg,xmmrm          | [rm: 66 0f c2 /r 01]              | SSE2,SO             |
| CMPLTSD         | xmmreg,xmmrm          | [rm: f2 0f c2 /r 01]              | SSE2                |
| CMPNEQPD        | xmmreg,xmmrm          | [rm: 66 0f c2 /r 04]              | SSE2,SO             |
| CMPNEQSD        | xmmreg,xmmrm          | [rm: f2 0f c2 /r 04]              | SSE2                |
| CMPNLEPD        | xmmreg,xmmrm          | [rm: 66 0f c2 /r 06]              | SSE2,SO             |
| CMPNLESD        | xmmreg,xmmrm          | [rm: f2 0f c2 /r 06]              | SSE2                |
| CMPNLTPD        | xmmreg,xmmrm          | [rm: 66 0f c2 /r 05]              | SSE2,SO             |
| CMPNLTSD        | xmmreg,xmmrm          | [rm: f2 0f c2 /r 05]              | SSE2                |
| CMPORDPD        | xmmreg,xmmrm          | [rm: 66 0f c2 /r 07]              | SSE2,SO             |
| CMPORDSD        | xmmreg,xmmrm          | [rm: f2 0f c2 /r 07]              | SSE2                |
| CMPUNORDPD      | xmmreg,xmmrm          | [rm: 66 0f c2 /r 03]              | SSE2,SO             |
| CMPUNORDSD      | xmmreg,xmmrm          | [rm: f2 0f c2 /r 03]              | SSE2                |
| CMPPD           | xmmreg,xmmrm128,imm8  | [rmi: 66 0f c2 /r ib,u]           | SSE2                |
| CMPSD           | xmmreg,xmmrm128,imm8  | [rmi: f2 0f c2 /r ib,u]           | SSE2                |
| COMISD          | xmmreg,xmmrm          | [rm: 66 0f 2f /r]                 | SSE2                |
| CVTDQ2PD        | xmmreg,xmmrm          | [rm: f3 0f e6 /r]                 | SSE2,SQ             |
| CVTDQ2PS        | xmmreg,xmmrm          | [rm: np 0f 5b /r]                 | SSE2,SO             |
| CVTPD2DQ        | xmmreg,xmmrm          | [rm: f2 0f e6 /r]                 | SSE2,SO             |
| CVTPD2PI        | mmxreg,xmmrm          | [rm: 66 0f 2d /r]                 | SSE2,SO             |
| CVTPD2PS        | xmmreg,xmmrm          | [rm: 66 0f 5a /r]                 | SSE2,SO             |
| CVTPI2PD        | xmmreg,mmxrm          | [rm: 66 0f 2a /r]                 | SSE2,SQ             |
| CVTPS2DQ        | xmmreg,xmmrm          | [rm: 66 0f 5b /r]                 | SSE2,SO             |
| CVTPS2PD        | xmmreg,xmmrm          | [rm: np 0f 5a /r]                 | SSE2,SQ             |
| CVTSD2SI        | reg32,xmmreg          | [rm: norexw f2 0f 2d /r]          | SSE2,SQ,AR1         |
| CVTSD2SI        | reg32,mem             | [rm: norexw f2 0f 2d /r]          | SSE2,SQ,AR1         |
| CVTSD2SI        | reg64,xmmreg          | [rm: o64 f2 0f 2d /r]             | X64,SSE2,SQ,AR1     |
| CVTSD2SI        | reg64,mem             | [rm: o64 f2 0f 2d /r]             | X64,SSE2,SQ,AR1     |
| CVTSD2SS        | xmmreg,xmmrm          | [rm: f2 0f 5a /r]                 | SSE2,SQ             |
| CVTSI2SD        | xmmreg,mem            | [rm: f2 0f 2a /r]                 | SSE2,SD,AR1,ND      |
| CVTSI2SD        | xmmreg,rm32           | [rm: norexw f2 0f 2a /r]          | SSE2,SD,AR1         |
| CVTSI2SD        | xmmreg,rm64           | [rm: o64 f2 0f 2a /r]             | X64,SSE2,SQ,AR1     |
| CVTSS2SD        | xmmreg,xmmrm          | [rm: f3 0f 5a /r]                 | SSE2,SD             |
| CVTTPD2PI       | mmxreg,xmmrm          | [rm: 66 0f 2c /r]                 | SSE2,SO             |
| CVTTPD2DQ       | xmmreg,xmmrm          | [rm: 66 0f e6 /r]                 | SSE2,SO             |
| CVTTPS2DQ       | xmmreg,xmmrm          | [rm: f3 0f 5b /r]                 | SSE2,SO             |
| CVTTSD2SI       | reg32,xmmreg          | [rm: norexw f2 0f 2c /r]          | SSE2,SQ,AR1         |
| CVTTSD2SI       | reg32,mem             | [rm: norexw f2 0f 2c /r]          | SSE2,SQ,AR1         |
| CVTTSD2SI       | reg64,xmmreg          | [rm: o64 f2 0f 2c /r]             | X64,SSE2,SQ,AR1     |
| CVTTSD2SI       | reg64,mem             | [rm: o64 f2 0f 2c /r]             | X64,SSE2,SQ,AR1     |
| DIVPD           | xmmreg,xmmrm          | [rm: 66 0f 5e /r]                 | SSE2,SO             |
| DIVSD           | xmmreg,xmmrm          | [rm: f2 0f 5e /r]                 | SSE2                |
| MAXPD           | xmmreg,xmmrm          | [rm: 66 0f 5f /r]                 | SSE2,SO             |
| MAXSD           | xmmreg,xmmrm          | [rm: f2 0f 5f /r]                 | SSE2                |
| MINPD           | xmmreg,xmmrm          | [rm: 66 0f 5d /r]                 | SSE2,SO             |
| MINSD           | xmmreg,xmmrm          | [rm: f2 0f 5d /r]                 | SSE2                |
| MOVAPD          | xmmreg,xmmreg         | [rm: 66 0f 28 /r]                 | SSE2                |
| MOVAPD          | xmmreg,xmmreg         | [mr: 66 0f 29 /r]                 | SSE2                |
| MOVAPD          | mem,xmmreg            | [mr: 66 0f 29 /r]                 | SSE2,SO             |
| MOVAPD          | xmmreg,mem            | [rm: 66 0f 28 /r]                 | SSE2,SO             |
| MOVHPD          | mem,xmmreg            | [mr: 66 0f 17 /r]                 | SSE2                |
| MOVHPD          | xmmreg,mem            | [rm: 66 0f 16 /r]                 | SSE2                |
| MOVLPD          | mem64,xmmreg          | [mr: 66 0f 13 /r]                 | SSE2                |
| MOVLPD          | xmmreg,mem64          | [rm: 66 0f 12 /r]                 | SSE2                |
| MOVMSKPD        | reg32,xmmreg          | [rm: 66 0f 50 /r]                 | SSE2                |
| MOVMSKPD        | reg64,xmmreg          | [rm: 66 o64 0f 50 /r]             | X64,SSE2            |
| MOVSD           | xmmreg,xmmreg         | [rm: f2 0f 10 /r]                 | SSE2                |
| MOVSD           | xmmreg,xmmreg         | [mr: f2 0f 11 /r]                 | SSE2                |
| MOVSD           | mem64,xmmreg          | [mr: f2 0f 11 /r]                 | SSE2                |
| MOVSD           | xmmreg,mem64          | [rm: f2 0f 10 /r]                 | SSE2                |
| MOVUPD          | xmmreg,xmmreg         | [rm: 66 0f 10 /r]                 | SSE2                |
| MOVUPD          | xmmreg,xmmreg         | [mr: 66 0f 11 /r]                 | SSE2                |
| MOVUPD          | mem,xmmreg            | [mr: 66 0f 11 /r]                 | SSE2,SO             |
| MOVUPD          | xmmreg,mem            | [rm: 66 0f 10 /r]                 | SSE2,SO             |
| MULPD           | xmmreg,xmmrm          | [rm: 66 0f 59 /r]                 | SSE2,SO             |
| MULSD           | xmmreg,xmmrm          | [rm: f2 0f 59 /r]                 | SSE2                |
| ORPD            | xmmreg,xmmrm          | [rm: 66 0f 56 /r]                 | SSE2,SO             |
| SHUFPD          | xmmreg,xmmreg,imm     | [rmi: 66 0f c6 /r ib,u]           | SSE2,SB,AR2         |
| SHUFPD          | xmmreg,mem,imm        | [rmi: 66 0f c6 /r ib,u]           | SSE2,SM,SB,AR2      |
| SQRTPD          | xmmreg,xmmrm          | [rm: 66 0f 51 /r]                 | SSE2,SO             |
| SQRTSD          | xmmreg,xmmrm          | [rm: f2 0f 51 /r]                 | SSE2                |
| SUBPD           | xmmreg,xmmrm          | [rm: 66 0f 5c /r]                 | SSE2,SO             |
| SUBSD           | xmmreg,xmmrm          | [rm: f2 0f 5c /r]                 | SSE2                |
| UCOMISD         | xmmreg,xmmrm          | [rm: 66 0f 2e /r]                 | SSE2                |
| UNPCKHPD        | xmmreg,xmmrm128       | [rm: 66 0f 15 /r]                 | SSE2                |
| UNPCKLPD        | xmmreg,xmmrm128       | [rm: 66 0f 14 /r]                 | SSE2                |
| XORPD           | xmmreg,xmmrm128       | [rm: 66 0f 57 /r]                 | SSE2                |
| ADDSUBPD        | xmmreg,xmmrm          | [rm: 66 0f d0 /r]                 | SSE3,SO             |
| ADDSUBPS        | xmmreg,xmmrm          | [rm: f2 0f d0 /r]                 | SSE3,SO             |
| HADDPD          | xmmreg,xmmrm          | [rm: 66 0f 7c /r]                 | SSE3,SO             |
| HADDPS          | xmmreg,xmmrm          | [rm: f2 0f 7c /r]                 | SSE3,SO             |
| HSUBPD          | xmmreg,xmmrm          | [rm: 66 0f 7d /r]                 | SSE3,SO             |
| HSUBPS          | xmmreg,xmmrm          | [rm: f2 0f 7d /r]                 | SSE3,SO             |
| LDDQU           | xmmreg,mem            | [rm: f2 0f f0 /r]                 | SSE3,SO             |
| MOVDDUP         | xmmreg,xmmrm          | [rm: f2 0f 12 /r]                 | SSE3,SQ             |
| MOVSHDUP        | xmmreg,xmmrm          | [rm: f3 0f 16 /r]                 | SSE3                |
| MOVSLDUP        | xmmreg,xmmrm          | [rm: f3 0f 12 /r]                 | SSE3                |
| CLGI            | void                  | [0f 01 dd]                        | VMX,AMD             |
| STGI            | void                  | [0f 01 dc]                        | VMX,AMD             |
| VMCALL          | void                  | [0f 01 c1]                        | VMX                 |
| VMCLEAR         | mem                   | [m: 66 0f c7 /6]                  | VMX                 |
| VMFUNC          | void                  | [0f 01 d4]                        | VMX                 |
| VMLAUNCH        | void                  | [0f 01 c2]                        | VMX                 |
| VMLOAD          | void                  | [0f 01 da]                        | VMX,AMD             |
| VMMCALL         | void                  | [0f 01 d9]                        | VMX,AMD             |
| VMPTRLD         | mem                   | [m: np 0f c7 /6]                  | VMX                 |
| VMPTRST         | mem                   | [m: np 0f c7 /7]                  | VMX                 |
| VMREAD          | rm32,reg32            | [mr: np 0f 78 /r]                 | VMX,NOLONG,SD       |
| VMREAD          | rm64,reg64            | [mr: o64nw np 0f 78 /r]           | X64,VMX,SQ          |
| VMRESUME        | void                  | [0f 01 c3]                        | VMX                 |
| VMRUN           | void                  | [0f 01 d8]                        | VMX,AMD             |
| VMSAVE          | void                  | [0f 01 db]                        | VMX,AMD             |
| VMWRITE         | reg32,rm32            | [rm: np 0f 79 /r]                 | VMX,NOLONG,SD       |
| VMWRITE         | reg64,rm64            | [rm: o64nw np 0f 79 /r]           | X64,VMX,SQ          |
| VMXOFF          | void                  | [0f 01 c4]                        | VMX                 |
| VMXON           | mem                   | [m: f3 0f c7 /6]                  | VMX                 |
| INVEPT          | reg32,mem             | [rm: 66 0f 38 80 /r]              | VMX,SO,NOLONG       |
| INVEPT          | reg64,mem             | [rm: o64nw 66 0f 38 80 /r]        | VMX,SO,LONG         |
| INVVPID         | reg32,mem             | [rm: 66 0f 38 81 /r]              | VMX,SO,NOLONG       |
| INVVPID         | reg64,mem             | [rm: o64nw 66 0f 38 81 /r]        | VMX,SO,LONG         |
| PABSB           | mmxreg,mmxrm          | [rm: np 0f 38 1c /r]              | SSSE3,MMX,SQ        |
| PABSB           | xmmreg,xmmrm          | [rm: 66 0f 38 1c /r]              | SSSE3               |
| PABSW           | mmxreg,mmxrm          | [rm: np 0f 38 1d /r]              | SSSE3,MMX,SQ        |
| PABSW           | xmmreg,xmmrm          | [rm: 66 0f 38 1d /r]              | SSSE3               |
| PABSD           | mmxreg,mmxrm          | [rm: np 0f 38 1e /r]              | SSSE3,MMX,SQ        |
| PABSD           | xmmreg,xmmrm          | [rm: 66 0f 38 1e /r]              | SSSE3               |
| PALIGNR         | mmxreg,mmxrm,imm      | [rmi: np 0f 3a 0f /r ib,u]        | SSSE3,MMX,SQ        |
| PALIGNR         | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 0f /r ib,u]        | SSSE3               |
| PHADDW          | mmxreg,mmxrm          | [rm: np 0f 38 01 /r]              | SSSE3,MMX,SQ        |
| PHADDW          | xmmreg,xmmrm          | [rm: 66 0f 38 01 /r]              | SSSE3               |
| PHADDD          | mmxreg,mmxrm          | [rm: np 0f 38 02 /r]              | SSSE3,MMX,SQ        |
| PHADDD          | xmmreg,xmmrm          | [rm: 66 0f 38 02 /r]              | SSSE3               |
| PHADDSW         | mmxreg,mmxrm          | [rm: np 0f 38 03 /r]              | SSSE3,MMX,SQ        |
| PHADDSW         | xmmreg,xmmrm          | [rm: 66 0f 38 03 /r]              | SSSE3               |
| PHSUBW          | mmxreg,mmxrm          | [rm: np 0f 38 05 /r]              | SSSE3,MMX,SQ        |
| PHSUBW          | xmmreg,xmmrm          | [rm: 66 0f 38 05 /r]              | SSSE3               |
| PHSUBD          | mmxreg,mmxrm          | [rm: np 0f 38 06 /r]              | SSSE3,MMX,SQ        |
| PHSUBD          | xmmreg,xmmrm          | [rm: 66 0f 38 06 /r]              | SSSE3               |
| PHSUBSW         | mmxreg,mmxrm          | [rm: np 0f 38 07 /r]              | SSSE3,MMX,SQ        |
| PHSUBSW         | xmmreg,xmmrm          | [rm: 66 0f 38 07 /r]              | SSSE3               |
| PMADDUBSW       | mmxreg,mmxrm          | [rm: np 0f 38 04 /r]              | SSSE3,MMX,SQ        |
| PMADDUBSW       | xmmreg,xmmrm          | [rm: 66 0f 38 04 /r]              | SSSE3               |
| PMULHRSW        | mmxreg,mmxrm          | [rm: np 0f 38 0b /r]              | SSSE3,MMX,SQ        |
| PMULHRSW        | xmmreg,xmmrm          | [rm: 66 0f 38 0b /r]              | SSSE3               |
| PSHUFB          | mmxreg,mmxrm          | [rm: np 0f 38 00 /r]              | SSSE3,MMX,SQ        |
| PSHUFB          | xmmreg,xmmrm          | [rm: 66 0f 38 00 /r]              | SSSE3               |
| PSIGNB          | mmxreg,mmxrm          | [rm: np 0f 38 08 /r]              | SSSE3,MMX,SQ        |
| PSIGNB          | xmmreg,xmmrm          | [rm: 66 0f 38 08 /r]              | SSSE3               |
| PSIGNW          | mmxreg,mmxrm          | [rm: np 0f 38 09 /r]              | SSSE3,MMX,SQ        |
| PSIGNW          | xmmreg,xmmrm          | [rm: 66 0f 38 09 /r]              | SSSE3               |
| PSIGND          | mmxreg,mmxrm          | [rm: np 0f 38 0a /r]              | SSSE3,MMX,SQ        |
| PSIGND          | xmmreg,xmmrm          | [rm: 66 0f 38 0a /r]              | SSSE3               |
| EXTRQ           | xmmreg,imm,imm        | [mij: 66 0f 78 /0 ib,u ib,u]      | SSE4A,AMD           |
| EXTRQ           | xmmreg,xmmreg         | [rm: 66 0f 79 /r]                 | SSE4A,AMD           |
| INSERTQ         | xmmreg,xmmreg,imm,imm | [rmij: f2 0f 78 /r ib,u ib,u]     | SSE4A,AMD           |
| INSERTQ         | xmmreg,xmmreg         | [rm: f2 0f 79 /r]                 | SSE4A,AMD           |
| MOVNTSD         | mem,xmmreg            | [mr: f2 0f 2b /r]                 | SSE4A,AMD,SQ        |
| MOVNTSS         | mem,xmmreg            | [mr: f3 0f 2b /r]                 | SSE4A,AMD,SD        |
| LZCNT           | reg16,rm16            | [rm: o16 f3i 0f bd /r]            | P6,AMD              |
| LZCNT           | reg32,rm32            | [rm: o32 f3i 0f bd /r]            | P6,AMD              |
| LZCNT           | reg64,rm64            | [rm: o64 f3i 0f bd /r]            | X64,AMD             |
| BLENDPD         | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 0d /r ib,u]        | SSE41               |
| BLENDPS         | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 0c /r ib,u]        | SSE41               |
| BLENDVPD        | xmmreg,xmmrm,xmm0     | [rm-: 66 0f 38 15 /r]             | SSE41               |
| BLENDVPD        | xmmreg,xmmrm          | [rm: 66 0f 38 15 /r]              | SSE41               |
| BLENDVPS        | xmmreg,xmmrm,xmm0     | [rm-: 66 0f 38 14 /r]             | SSE41               |
| BLENDVPS        | xmmreg,xmmrm          | [rm: 66 0f 38 14 /r]              | SSE41               |
| DPPD            | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 41 /r ib,u]        | SSE41               |
| DPPS            | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 40 /r ib,u]        | SSE41               |
| EXTRACTPS       | rm32,xmmreg,imm       | [mri: 66 0f 3a 17 /r ib,u]        | SSE41               |
| EXTRACTPS       | reg64,xmmreg,imm      | [mri: o64 66 0f 3a 17 /r ib,u]    | SSE41,X64           |
| INSERTPS        | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 21 /r ib,u]        | SSE41,SD            |
| MOVNTDQA        | xmmreg,mem128         | [rm: 66 0f 38 2a /r]              | SSE41               |
| MPSADBW         | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 42 /r ib,u]        | SSE41               |
| PACKUSDW        | xmmreg,xmmrm          | [rm: 66 0f 38 2b /r]              | SSE41               |
| PBLENDVB        | xmmreg,xmmrm,xmm0     | [rm-: 66 0f 38 10 /r]             | SSE41               |
| PBLENDVB        | xmmreg,xmmrm          | [rm: 66 0f 38 10 /r]              | SSE41               |
| PBLENDW         | xmmreg,xmmrm,imm      | [rmi: 66 0f 3a 0e /r ib,u]        | SSE41               |
| PCMPEQQ         | xmmreg,xmmrm          | [rm: 66 0f 38 29 /r]              | SSE41               |
| PEXTRB          | reg32,xmmreg,imm      | [mri: 66 0f 3a 14 /r ib,u]        | SSE41               |
| PEXTRB          | mem8,xmmreg,imm       | [mri: 66 0f 3a 14 /r ib,u]        | SSE41               |
| PEXTRB          | reg64,xmmreg,imm      | [mri: o64nw 66 0f 3a 14 /r ib,u]  | SSE41,X64           |
| PEXTRD          | rm32,xmmreg,imm       | [mri: norexw 66 0f 3a 16 /r ib,u] | SSE41               |
| PEXTRQ          | rm64,xmmreg,imm       | [mri: o64 66 0f 3a 16 /r ib,u]    | SSE41,X64           |
| PEXTRW          | reg32,xmmreg,imm      | [mri: 66 0f 3a 15 /r ib,u]        | SSE41               |
| PEXTRW          | mem16,xmmreg,imm      | [mri: 66 0f 3a 15 /r ib,u]        | SSE41               |
| PEXTRW          | reg64,xmmreg,imm      | [mri: o64 66 0f 3a 15 /r ib,u]    | SSE41,X64           |
| PHMINPOSUW      | xmmreg,xmmrm          | [rm: 66 0f 38 41 /r]              | SSE41               |
| PINSRB          | xmmreg,mem,imm        | [rmi: 66 0f 3a 20 /r ib,u]        | SSE41,SB,AR2        |
| PINSRB          | xmmreg,rm8,imm        | [rmi: nohi 66 0f 3a 20 /r ib,u]   | SSE41,SB,AR2        |
| PINSRB          | xmmreg,reg32,imm      | [rmi: 66 0f 3a 20 /r ib,u]        | SSE41,SB,AR2        |
| PINSRD          | xmmreg,mem,imm        | [rmi: norexw 66 0f 3a 22 /r ib,u] | SSE41,SB,AR2        |
| PINSRD          | xmmreg,rm32,imm       | [rmi: norexw 66 0f 3a 22 /r ib,u] | SSE41,SB,AR2        |
| PINSRQ          | xmmreg,mem,imm        | [rmi: o64 66 0f 3a 22 /r ib,u]    | SSE41,X64,SB,AR2    |
| PINSRQ          | xmmreg,rm64,imm       | [rmi: o64 66 0f 3a 22 /r ib,u]    | SSE41,X64,SB,AR2    |
| PMAXSB          | xmmreg,xmmrm          | [rm: 66 0f 38 3c /r]              | SSE41               |
| PMAXSD          | xmmreg,xmmrm          | [rm: 66 0f 38 3d /r]              | SSE41               |
| PMAXUD          | xmmreg,xmmrm          | [rm: 66 0f 38 3f /r]              | SSE41               |
| PMAXUW          | xmmreg,xmmrm          | [rm: 66 0f 38 3e /r]              | SSE41               |
| PMINSB          | xmmreg,xmmrm          | [rm: 66 0f 38 38 /r]              | SSE41               |
| PMINSD          | xmmreg,xmmrm          | [rm: 66 0f 38 39 /r]              | SSE41               |
| PMINUD          | xmmreg,xmmrm          | [rm: 66 0f 38 3b /r]              | SSE41               |
| PMINUW          | xmmreg,xmmrm          | [rm: 66 0f 38 3a /r]              | SSE41               |
| PMOVSXBW        | xmmreg,xmmrm          | [rm: 66 0f 38 20 /r]              | SSE41,SQ            |
| PMOVSXBD        | xmmreg,xmmrm          | [rm: 66 0f 38 21 /r]              | SSE41,SD            |
| PMOVSXBQ        | xmmreg,xmmrm          | [rm: 66 0f 38 22 /r]              | SSE41,SW            |
| PMOVSXWD        | xmmreg,xmmrm          | [rm: 66 0f 38 23 /r]              | SSE41,SQ            |
| PMOVSXWQ        | xmmreg,xmmrm          | [rm: 66 0f 38 24 /r]              | SSE41,SD            |
| PMOVSXDQ        | xmmreg,xmmrm          | [rm: 66 0f 38 25 /r]              | SSE41,SQ            |
| PMOVZXBW        | xmmreg,xmmrm          | [rm: 66 0f 38 30 /r]              | SSE41,SQ            |
| PMOVZXBD        | xmmreg,xmmrm          | [rm: 66 0f 38 31 /r]              | SSE41,SD            |
| PMOVZXBQ        | xmmreg,xmmrm          | [rm: 66 0f 38 32 /r]              | SSE41,SW            |
| PMOVZXWD        | xmmreg,xmmrm          | [rm: 66 0f 38 33 /r]              | SSE41,SQ            |
| PMOVZXWQ        | xmmreg,xmmrm          | [rm: 66 0f 38 34 /r]              | SSE41,SD            |
| PMOVZXDQ        | xmmreg,xmmrm          | [rm: 66 0f 38 35 /r]              | SSE41,SQ            |
